＠|＠|＠|						//「0」の時の解放文章
Für dieses Gebiet|musst du Benutzerrang 200+|oder GAMATOTO-St. 3+ haben.|						//「1」の時の解放文章
Für dieses Gebiet|musst du Benutzerrang 400+|oder GAMATOTO-St. 6+ haben.|						//「2」の時の解放文章
Du musst Benutzerrang 600|und Gamatoto-Stufe 10|für dieses Gebiet erreichen.|						//「3」の時の解放文章
Du musst Benutzerrang 900|und Gamatoto-Stufe 14|für dieses Gebiet erreichen.|						//「4」の時の解放文章
Du musst Benutzerrang 1600|und Gamatoto-Stufe 19|für dieses Gebiet erreichen.|						//「5」の時の解放文章
Gamatoto-Expeditionen|müssen Stufe 24 für dieses|Gebiet erreichen.|						//「6」の時の解放文章
Gamatoto-Expeditionen|müssen Stufe 30 für dieses|Gebiet erreichen.|						//「7」の時の解放文章
Gamatoto-Expeditionen|müssen Stufe 36 für dieses|Gebiet erreichen.|						//「8」の時の解放文章
Gamatoto-Expeditionen|müssen Stufe 43 für dieses|Gebiet erreichen.|						//「9」の時の解放文章
Gamatoto-Expeditionen|müssen Stufe 50 für dieses|Gebiet erreichen.|						//「10」の時の解放文章
Gamatoto-Expeditionen|müssen Stufe 58 für dieses|Gebiet erreichen.|						//「11」の時の解放文章
Gamatoto-Expeditionen|müssen Stufe 67 für dieses|Gebiet erreichen.|						//「12」の時の解放文章
Gamatoto-Expeditionen|müssen Stufe 72 für dieses|Gebiet erreichen.|						//「13」の時の解放文章
Gamatoto-Expeditionen|müssen Stufe 83 für dieses|Gebiet erreichen.|						//「14」の時の解放文章
Für dieses Gebiet ist|Gamatoto-Stufe 88|erforderlich.|//「15」の時の解放文章
Für dieses Gebiet|musst du Benutzerrang 5000+|und Gamatoto-St. 50+ haben.|//「16」の時の解放文章
Für dieses Gebiet|musst du Benutzerrang 300+|oder GAMATOTO-St. 6+ haben.|//「17」の時の解放文章
Für dieses Gebiet|musst du Benutzerrang 500+|oder GAMATOTO-St. 6+ haben.|//「18」の時の解放文章
Für dieses Gebiet|musst du Benutzerrang 800+|und Gamatoto-St. 14+ haben.|//「19」の時の解放文章
Für dieses Gebiet|musst du Benutzerrang 1.000+|und Gamatoto-St. 14+ haben.|//「20」の時の解放文章
